Отметка времени,Ваш возраст,Ваш пол,Из какого вы региона Кыргызстана?,Ваш род занятий,Музыкальные предпочтения,Как часто вы слушаете музыку?,Какие платформы вы используете для прослушивания музыки?,Как музыка влияет на ваше настроение?,Какие эмоции чаще всего вызывает у вас музыка?,Какие три песни или исполнителя вы слушали чаще всего за последний месяц?,  Какую музыку вы предпочитаете?,"Какой ваш любимый альбом, и какие эмоции он вызвал?"
23.11.2024 17:33:55,18–24,Мужской,Ошская область,"Студент, Работающий (офис/производство/сервис)","Рэп/Хип-хоп, Фонк, Японская музыка(опенинг, эндинг и тп.)",Ежедневно,Тик ток ,Мотивирует,Грусть,"Moving Castle 
Miyagi samurai 
Brazilian phonk ","Западную (американскую, европейскую), Смешанную (несколько культур)",Hui
23.11.2024 17:41:24,18–24,Мужской,Иссык-Кульская область,Студент,Фонк,Раз в неделю,"YouTube, Spotify",Мотивирует,Спокойствие,Arctic monkeys,"Западную (американскую, европейскую), Из своей страны (Кыргызстан)",-
23.11.2024 17:44:25,18–24,Мужской,Чуйская область,Студент,"Поп, Рок, Рэп/Хип-хоп",Ежедневно,"YouTube, Spotify","Успокаивает, Улучшает настроение, Снимает стресс",Грусть,"Порнофильмы, Макс Корж, LeTai","Западную (американскую, европейскую), Русскую",Горгород Оксимирона
23.11.2024 17:46:12,18–24,Мужской,Чуйская область,Студент,"Поп, Рок, Рэп/Хип-хоп, Классическая музыка, Джаз, Регги",Ежедневно,"YouTube, Spotify, Яндекс.Музыка","Успокаивает, Мотивирует, Улучшает настроение, Помогает сосредоточиться, Снимает стресс",Кайф,"The Weeknd, Kendrick Lamar, Tyler, the Creator ","Западную (американскую, европейскую), Смешанную (несколько культур)","GNX, кайфовые🤟🤪🤘"
23.11.2024 17:47:11,18–24,Мужской,Баткенская область,"Студент, Работающий (офис/производство/сервис)","Рок, Рэп/Хип-хоп, Японская музыка(опенинг, эндинг и тп.)",Ежедневно,"YouTube, Apple Music","Успокаивает, Снимает стресс, Не влияет",Радость,"linkin park - runaway, new divide, cut the bridge 
maneskin - baby said, off my face, gasoline
p.o.d. - satellite ","Западную (американскую, европейскую), Русскую",linkin park - meteora    врыв души :)
23.11.2024 17:47:48,18–24,Мужской,Ошская область,"Студент, Работающий (офис/производство/сервис)","Поп, Рок, Рэп/Хип-хоп, Электронная музыка",Несколько раз в неделю,"YouTube, Spotify","Успокаивает, Улучшает настроение, Помогает сосредоточиться, Снимает стресс",Спокойствие,"Gatie, The weekend, Bruno Mars ","Западную (американскую, европейскую)","Нету такого, я меломан"
23.11.2024 17:53:47,18–24,Женский,Ошская область,Студент,"Поп, Рэп/Хип-хоп, Классическая музыка, Джаз, Электронная музыка",Несколько раз в неделю,"YouTube, Apple Music","Успокаивает, Улучшает настроение, Снимает стресс",Вдохновение,-,"Западную (американскую, европейскую), Русскую",-
23.11.2024 17:55:28,18–24,Женский,Чуйская область,"Студент, Работающий (офис/производство/сервис)",Рок,Раз в неделю,ВКонтакте,Не влияет,Ностальгия,То что в Тиктоке,"Западную (американскую, европейскую), Русскую, Из своей страны (Кыргызстан)",Нравится Абир Касенов ❤️‍🔥❤️‍🔥💗
23.11.2024 17:56:22,18–24,Мужской,Ошская область,Студент,"Поп, Рэп/Хип-хоп, Японская музыка(опенинг, эндинг и тп.)",Ежедневно,"YouTube, Spotify, ВКонтакте, Локальные файлы на телефоне/компьютере","Успокаивает, Мотивирует, Улучшает настроение, Помогает сосредоточиться, Снимает стресс",Спокойствие,"Juice WRLD, Kendrick Lamar, DC The Don","Западную (американскую, европейскую), Русскую, Из своей страны (Кыргызстан), Смешанную (несколько культур)","Goodbye and Good Riddance by Juice WRLD, Mr Morale and Big Steppers by Kendrick Lamar, MOW3 by DC The Don, Astroworld, Days Before Rodeo by Travis Scott"
23.11.2024 17:57:30,18–24,Мужской,Ошская область,Студент,"Поп, Классическая музыка, Японская музыка(опенинг, эндинг и тп.)",Несколько раз в неделю,"YouTube, Spotify",Улучшает настроение,Ностальгия,-,"Западную (американскую, европейскую), Смешанную (несколько культур)",-
23.11.2024 17:58:27,18–24,Женский,Джалал-Абадская область,Студент,"Поп, Рэп/Хип-хоп",Ежедневно,"YouTube, Яндекс.Музыка, Локальные файлы на телефоне/компьютере","Успокаивает, Улучшает настроение, Помогает сосредоточиться, Снимает стресс",Радость,-,Смешанную (несколько культур),-
23.11.2024 18:00:13,18–24,Женский,Ошская область,Студент,"Рэп/Хип-хоп, Классическая музыка, Духовная музыка, Японская музыка(опенинг, эндинг и тп.)",Ежедневно,"YouTube, Spotify, ВКонтакте","Улучшает настроение, Снимает стресс",Радость,-,"Западную (американскую, европейскую), Смешанную (несколько культур)",-
23.11.2024 18:05:02,18–24,Мужской,Чуйская область,Студент,"Поп, Рэп/Хип-хоп, Классическая музыка, Духовная музыка",Редко,"YouTube, Spotify",Улучшает настроение,Радость,"I got Bitches , Я бью женщин и детей , Гимн России","Западную (американскую, европейскую), Русскую, Из своей страны (Кыргызстан), Смешанную (несколько культур)",Donda
23.11.2024 18:05:24,18–24,Женский,Чуйская область,Студент,"Поп, Рок, Электронная музыка, Народная музыка, Японская музыка(опенинг, эндинг и тп.)",Редко,"YouTube, Локальные файлы на телефоне/компьютере",Не влияет,Спокойствие,-,Смешанную (несколько культур),-
23.11.2024 18:07:08,18–24,Мужской,Чуйская область,Студент,Рэп/Хип-хоп,Ежедневно,"YouTube, Spotify","Успокаивает, Мотивирует, Улучшает настроение, Снимает стресс",вайб,серега пират,"Западную (американскую, европейскую)","серега пират любой альбом, тупа лютый вайб"
23.11.2024 18:09:16,25–34,Женский,Ошская область,Работающий (офис/производство/сервис),Классическая музыка,Ежедневно,YouTube,Успокаивает,Радость,-,Русскую,Журогум
23.11.2024 18:09:21,18–24,Мужской,Ошская область,Студент,"Поп, Рок, Рэп/Хип-хоп, Классическая музыка, Электронная музыка",Ежедневно,"YouTube, Spotify, Яндекс.Музыка","Успокаивает, Мотивирует, Улучшает настроение, Помогает сосредоточиться",Радость,пирокинезис will Paquin Alex G,"Западную (американскую, европейскую), Русскую, Из своей страны (Кыргызстан), Смешанную (несколько культур), ",-
23.11.2024 18:13:23,18–24,Женский,Джалал-Абадская область,Самозанятый/предприниматель,Духовная музыка,Несколько раз в неделю,YouTube,Успокаивает,Спокойствие,-,"Западную (американскую, европейскую), Смешанную (несколько культур)",👌👌👌
